Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
64,536,967,27,547,514,45,40,516_360_187,37_14_32,20,[7_32] (2_2),20,[7_32] (2_1),6792,[4160_8870],6762,[4160_8870],143,26,[2_32] (1_4),162,43.43,46.85,761,623
65,555,2288,17,530,445,290,34,318_152_94,77_42_77,16,[4_28] (2_1),16,[9_25] (6_1),4079,[2580_7675],3996,[2580_6170],108,17,[0_22] (3_24),106,76.84,80.55,2361,1874
66,508,542,20,537,535,0,0,33_20_6,1_0_2,7,[2_19] (1_1),7,[5_19] (94_1),5518,[3000_6450],5516,[3000_6200],48,17,[7_20] (1_4),109,0.92,1.29,21,21
67,521,605,20,536,525,55,42,75_99_369,7_5_10,13,[7_25] (4_2),13,[7_24] (4_1),5494,[3700_6700],5510,[3700_6700],89,19,[0_25] (3_2),115,11.40,13.22,286,250
68,522,920,20,537,526,80,49,161_154_213,13_2_13,16,[0_45] (1_1),16,[6_24] (1_2),3582,[2300_7200],3566,[2300_5600],96,20,[4_39] (1_1),105,41.63,42.83,625,419
69,535,1796,17,512,479,430,27,528_156_114,61_13_32,17,[9_27] (1_1),17,[12_27] (5_1),3553,[2550_4965],3546,[2550_4705],102,17,[0_22] (2_2),99,71.49,73.33,1626,1499
70,509,793,25,523,493,95,47,467_269_167,19_14_28,18,[9_46] (3_1),18,[9_46] (1_1),6318,[4080_9165],6280,[4080_9165],125,25,[1_40] (1_2),160,34.05,37.83,859,652
71,533,1006,18,557,540,130,75,152_99_212,16_3_17,15,[0_26] (1_2),15,[8_26] (1_1),4508,[2850_7350],4486,[2850_6400],88,18,[0_23] (2_6),97,44.63,46.32,598,524
72,556,1260,22,545,528,205,84,464_235_122,32_5_19,19,[7_42] (1_1),19,[7_39] (1_1),4259,[3030_6450],4248,[3030_6450],140,22,[5_32] (1_2),159,56.75,58.10,1290,898
73,526,1065,18,540,503,195,267,446_73_98,29_18_26,16,[8_29] (2_1),16,[8_27] (1_1),3759,[2950_5290],3753,[2950_5200],100,18,[10_23] (1_5),106,49.30,52.77,972,892
74,530,1331,17,521,501,160,15,344_149_0,43_9_20,15,[0_28] (1_1),15,[8_26] (1_2),3002,[1750_6300],2980,[1750_4500],98,17,[0_42] (1_1),101,60.86,62.36,1014,820
75,601,4369,14,506,420,610,191,547_78_142,114_35_97,14,[5_34] (2_1),14,[6_28] (3_1),3721,[2755_8210],3673,[2755_5605],126,14,[0_29] (1_1),104,88.42,90.39,3976,3040
76,492,513,20,508,507,0,0,285_160_45,6_0_1,7,[3_19] (1_1),7,[5_19] (120_1),5396,[3065_6550],5393,[3065_6150],57,20,[20_20] (5_5),104,0.97,1.17,38,38
77,522,650,22,552,545,80,35,373_208_0,9_3_12,16,[11_65] (19_1),16,[11_29] (19_1),4026,[2355_5395],4026,[2355_4980],95,22,[12_32] (1_1),209,15.08,16.15,655,469
