Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
569,24,90,20,23,18,20,3,3_15_8,8_7_3,19,[9_24] (1_1),20,[17_24] (1_1),5245,[3855_6765],5229,[3855_6765],118,20,[15_25] (1_1),104,74.44,80.00,162,148
570,27,118,15,21,12,15,2,14_1_0,6_14_9,14,[5_19] (1_3),14,[12_19] (4_1),3164,[2700_4350],3025,[2700_3455],157,15,[8_25] (1_1),135,82.20,89.83,294,226
571,21,21,20,21,21,0,0,0,0,3,[3_3] (21_21),3,[3_3] (21_21),5000,[5000_5000],5000,[5000_5000],26,,,,,,0,0
572,22,37,15,21,19,30,11,4_16_4,4_1_5,14,[9_19] (2_2),14,[9_19] (2_1),2870,[2205_3430],2874,[2205_3430],103,14,[8_15] (1_13),116,43.24,48.65,122,122
573,24,186,20,19,10,65,5,4_8_11,13_1_24,23,[17_61] (3_1),23,[17_29] (1_1),2240,[1600_4455],2094,[1750_2840],136,19,[1_30] (1_1),104,89.78,94.62,695,528
574,24,263,15,18,9,25,3,2_3_0,8_1_15,14,[0_30] (1_1),17,[13_30] (1_1),3283,[2550_5550],2894,[2550_3695],106,15,[1_20] (1_2),82,93.16,96.58,392,256
575,19,23,20,19,16,25,13,2_17_6,3_2_4,18,[12_33] (1_1),18,[14_22] (2_2),2983,[2100_4010],2872,[2100_3455],119,16,[3_20] (1_3),98,17.39,30.43,141,136
576,19,50,18,19,15,20,1,9_3_5,0_4_4,17,[13_21] (2_2),17,[13_21] (1_1),2931,[2455_3755],2842,[2455_3500],102,18,[18_23] (30_1),110,62.00,70.00,106,97
577,22,131,20,19,12,15,1,10_5_4,13_5_7,20,[14_25] (1_2),21,[18_25] (1_1),2602,[1950_3700],2462,[1950_2850],141,20,[5_20] (1_105),118,85.50,90.84,201,184
578,19,38,20,18,13,15,2,12_3_4,6_2_11,19,[14_28] (2_1),19,[14_24] (2_1),3646,[3145_4475],3638,[3145_4475],133,20,[20_20] (20_20),119,52.63,65.79,189,172
